Date,Close/Last,
01/29/2021,$171.51,191
02/01/2021,$173.56,192
02/02/2021,$180.54,193
02/03/2021,$179.51,194
02/04/2021,$184.90,195
02/05/2021,$182.83,196
02/08/2021,$186.27,197
02/09/2021,$186.17,198
02/10/2021,$187.52,199
02/11/2021,$187.50,200
02/12/2021,$185.92,201
02/16/2021,$184.49,202
02/17/2021,$188.46,203
02/18/2021,$189.21,204
02/19/2021,$189.09,205
02/22/2021,$188.32,206
02/23/2021,$187.83,207
02/24/2021,$191.38,208
02/25/2021,$187.00,209
02/26/2021,$181.91,210
03/01/2021,$184.62,211
03/02/2021,$186.00,212
03/03/2021,$186.07,213
03/04/2021,$183.73,214
03/05/2021,$187.09,215
03/08/2021,$191.04,216
03/09/2021,$187.97,217
03/10/2021,$190.99,218
03/11/2021,$188.25,219
03/12/2021,$192.02,220
03/15/2021,$192.00,221
03/16/2021,$190.52,222
03/17/2021,$192.04,223
03/18/2021,$196.47,224
03/19/2021,$197.50,225
03/22/2021,$198.04,226
03/23/2021,$196.15,227
03/24/2021,$195.96,228
03/25/2021,$198.61,229
03/26/2021,$198.94,230
03/29/2021,$202.84,231
03/30/2021,$203.08,232
03/31/2021,$202.68,233
04/01/2021,$203.62,234
04/05/2021,$207.85,235
04/06/2021,$209.32,236
04/07/2021,$208.65,237
04/08/2021,$207.49,238
04/09/2021,$208.12,239
04/12/2021,$209.59,240
04/13/2021,$208.97,241
04/14/2021,$208.99,242
04/15/2021,$210.76,243
04/16/2021,$210.72,244
04/19/2021,$209.73,245
04/20/2021,$210.20,246
04/21/2021,$212.05,247
04/22/2021,$210.71,248
04/23/2021,$211.02,249
04/26/2021,$207.65,250
04/27/2021,$207.73,251
04/28/2021,$205.01,252
04/29/2021,$209.22,253
04/30/2021,$209.23,254
05/03/2021,$211.74,255
05/04/2021,$216.40,256
05/05/2021,$217.68,257
05/06/2021,$216.99,258
05/07/2021,$219.25,259
05/10/2021,$217.02,260
05/11/2021,$213.33,261
05/12/2021,$211.06,262
05/13/2021,$214.63,263
05/14/2021,$217.04,264
05/17/2021,$218.10,265
05/18/2021,$214.92,266
05/19/2021,$214.34,267
05/20/2021,$216.09,268
05/21/2021,$216.04,269
05/24/2021,$216.29,270
05/25/2021,$216.55,271
05/26/2021,$214.83,272
05/27/2021,$218.91,273
05/28/2021,$218.06,274
06/01/2021,$217.19,275
06/02/2021,$218.72,276
06/03/2021,$219.94,277
06/04/2021,$222.75,278
06/07/2021,$218.55,279
