Date,Close/Last,
10/15/2024,$526.93,1124
10/16/2024,$531.43,1125
10/17/2024,$527.97,1126
10/18/2024,$530.79,1127
10/21/2024,$529.65,1128
10/22/2024,$520.20,1129
10/23/2024,$516.40,1130
10/24/2024,$523.68,1131
10/25/2024,$519.35,1132
10/28/2024,$512.15,1133
10/29/2024,$504.05,1134
10/30/2024,$505.34,1135
10/31/2024,$509.02,1136
11/01/2024,$506.95,1137
11/04/2024,$507.44,1138
11/05/2024,$512.90,1139
11/06/2024,$523.14,1140
11/07/2024,$520.58,1141
11/08/2024,$528.99,1142
11/11/2024,$533.70,1143
11/12/2024,$531.39,1144
11/13/2024,$520.42,1145
11/14/2024,$500.34,1146
11/15/2024,$493.99,1147
11/18/2024,$488.68,1148
11/19/2024,$491.02,1149
11/20/2024,$491.98,1150
11/21/2024,$496.41,1151
11/22/2024,$496.87,1152
11/25/2024,$485.27,1153
11/26/2024,$488.43,1154
11/27/2024,$489.08,1155
11/29/2024,$489.65,1156
12/02/2024,$484.75,1157
12/03/2024,$485.21,1158
12/04/2024,$486.62,1159
12/05/2024,$479.57,1160
12/06/2024,$473.65,1161
12/09/2024,$479.17,1162
12/10/2024,$480.18,1163
12/11/2024,$475.62,1164
12/12/2024,$481.51,1165
12/13/2024,$480.00,1166
12/16/2024,$482.60,1167
12/17/2024,$480.29,1168
12/18/2024,$467.66,1169
12/19/2024,$467.13,1170
12/20/2024,$469.54,1171
12/23/2024,$467.20,1172
12/24/2024,$471.09,1173
12/26/2024,$472.23,1174
12/27/2024,$471.35,1175
12/30/2024,$466.52,1176
12/31/2024,$469.29,1177
01/02/2025,$468.01,1178
01/03/2025,$467.82,1179
01/06/2025,$455.14,1180
01/07/2025,$452.39,1181
01/08/2025,$462.21,1182
01/10/2025,$458.69,1183
01/13/2025,$472.38,1184
01/14/2025,$475.50,1185
01/15/2025,$472.30,1186
01/16/2025,$481.19,1187
01/17/2025,$482.38,1188
01/21/2025,$504.45,1189
01/22/2025,$502.41,1190
01/23/2025,$499.77,1191
01/24/2025,$497.02,1192
01/27/2025,$503.23,1193
01/28/2025,$486.64,1194
01/29/2025,$481.54,1195
01/30/2025,$483.37,1196
